cluster	gene_name	gene_id	isTF	E9.5VSE10.5_l2fc	E9.5VSE10.5_padj	E10.5VSE11.5_l2fc	E10.5VSE11.5_padj	E11.5VSE12.5_l2fc	E11.5VSE12.5_padj
Ect6	Prtg	ENSMUSG00000036030	FALSE	3.12269335134716	9.5004974950749e-38	-2.10128105631751	0.00624010972272331	NA	NA
Ect6	Rnf165	ENSMUSG00000025427	FALSE	NA	NA	NA	NA	NA	NA
Ect2	Nectin4	ENSMUSG00000006411	FALSE	-3.45977253785741	4.92861655079013e-27	NA	NA	NA	NA
Ect1	Rhbdl3	ENSMUSG00000017692	FALSE	-3.36029640524453	0.00204205364869311	NA	NA	NA	NA
Ect1	Nt5e	ENSMUSG00000032420	FALSE	NA	NA	NA	NA	NA	NA
Ect6	Eno3	ENSMUSG00000060600	FALSE	1.64422888037733	1.02244407724042e-06	NA	NA	NA	NA
Ect1	Prkch	ENSMUSG00000021108	FALSE	-2.20321047718587	1.32637633008265e-07	NA	NA	NA	NA
Ect1	AU018091	ENSMUSG00000054753	FALSE	-5.32867131563794	3.51493974058878e-08	NA	NA	NA	NA
Ect6	Dlk1	ENSMUSG00000040856	FALSE	2.50878318485514	1.19620061019171e-12	NA	NA	-1.99947002197183	0.00098605497369866
Ect6	Loxl2	ENSMUSG00000034205	FALSE	NA	NA	NA	NA	NA	NA
Ect2	Cyp26a1	ENSMUSG00000024987	FALSE	-2.5827556270301	4.01463368208652e-13	NA	NA	NA	NA
Ect4	Rarb	ENSMUSG00000017491	TRUE	3.60876304205007	1.01388455386766e-10	NA	NA	NA	NA
Ect6	Lhfpl2	ENSMUSG00000045312	FALSE	NA	NA	NA	NA	-1.54301463757409	0.0195245151354996
Ect1	Pid1	ENSMUSG00000045658	FALSE	-2.97586912466516	6.46410167754035e-06	NA	NA	NA	NA
Ect1	Papln	ENSMUSG00000021223	FALSE	NA	NA	NA	NA	NA	NA
Ect1	Mall	ENSMUSG00000027377	FALSE	-4.0552013527768	0.000136799057150439	NA	NA	NA	NA
Ect1	Bgn	ENSMUSG00000031375	FALSE	-1.527469452064	8.80521349260091e-08	NA	NA	NA	NA
