cluster	gene_name	gene_id	isTF	E9.5VSE10.5_l2fc	E9.5VSE10.5_padj	E10.5VSE11.5_l2fc	E10.5VSE11.5_padj	E11.5VSE12.5_l2fc	E11.5VSE12.5_padj
Mes1	Ror1	ENSMUSG00000035305	FALSE	4.45301961970674	1.95745277018271e-28	NA	NA	2.76285917937612	0.00193737642590693
Mes4	Creb5	ENSMUSG00000053007	FALSE	NA	NA	4.59877776318821	3.565551823891e-09	2.86396810992649	6.91458547722584e-07
Mes1	Hoxd1	ENSMUSG00000042448	TRUE	5.47430602281281	8.3702961420797e-14	NA	NA	NA	NA
Mes5	Nrp2	ENSMUSG00000025969	FALSE	-3.07545888455376	1.43825625790102e-26	NA	NA	NA	NA
Mes4	Robo2	ENSMUSG00000052516	FALSE	-1.89143954978819	1.31561242731437e-07	NA	NA	1.63572377868694	0.00203029760305816
Mes1	Wfikkn1	ENSMUSG00000071192	FALSE	5.04218228308432	7.23166101632069e-21	NA	NA	NA	NA
Mes4	Nfix	ENSMUSG00000001911	TRUE	-2.92176138656825	0.0284090994974114	2.94025734619768	4.67809959500316e-06	2.93829583832306	7.38875828791718e-06
Mes4	Col9a3	ENSMUSG00000027570	FALSE	NA	NA	2.80235386228681	8.7318433183838e-05	2.51765418744757	2.69452009488328e-05
Mes1	Irx5	ENSMUSG00000031737	TRUE	6.81064305408863	6.51225459269232e-25	NA	NA	NA	NA
Mes1	Hopx	ENSMUSG00000059325	TRUE	4.92517290698648	3.29575071461152e-16	NA	NA	NA	NA
Mes5	Nlgn3	ENSMUSG00000031302	FALSE	-3.6850333377496	1.50663354757976e-07	NA	NA	NA	NA
Mes4	Prdm16	ENSMUSG00000039410	TRUE	-1.75651500440999	1.68295327263374e-08	NA	NA	NA	NA
Mes5	Mrc1	ENSMUSG00000026712	FALSE	-4.84146928908686	5.26019953669195e-14	NA	NA	NA	NA
Mes1	Meox1	ENSMUSG00000001493	TRUE	5.03663294169741	1.06868423761916e-21	NA	NA	NA	NA
Mes5	Cpt1a	ENSMUSG00000024900	FALSE	-3.24046617944002	9.92042334759443e-15	NA	NA	NA	NA
Mes3	Crb2	ENSMUSG00000035403	FALSE	1.85678350026079	2.05519913204749e-07	NA	NA	NA	NA
Mes4	Cadps2	ENSMUSG00000017978	FALSE	-2.84021589369542	0.000240767040631514	NA	NA	NA	NA
Mes1	Pbx1	ENSMUSG00000052534	TRUE	2.28312495085336	4.46221178005529e-15	NA	NA	NA	NA
Mes3	Myc	ENSMUSG00000022346	TRUE	2.75798048198606	9.79012576258192e-17	-1.56895061420248	0.00564143804294702	NA	NA
Mes3	Rspo4	ENSMUSG00000032852	FALSE	NA	NA	-2.24275500070319	6.43198453534544e-07	NA	NA
Mes4	Spock2	ENSMUSG00000058297	FALSE	-2.64341381798105	6.12651029836343e-10	NA	NA	NA	NA
Mes1	Lgi2	ENSMUSG00000039252	FALSE	3.61091073609883	1.80916853518953e-19	NA	NA	NA	NA
Mes4	Dpyd	ENSMUSG00000033308	FALSE	-4.13545437818046	0.00069682566645921	NA	NA	1.85081565839665	0.00267878552803406
Mes4	Col9a2	ENSMUSG00000028626	FALSE	NA	NA	NA	NA	3.2599482867089	1.43078084058551e-08
Mes1	Upk3b	ENSMUSG00000042985	FALSE	10.1420054604456	2.81200675103332e-09	NA	NA	NA	NA
Mes1	Sdk2	ENSMUSG00000041592	FALSE	2.73826482718048	1.30433442352934e-12	NA	NA	NA	NA
Mes4	Sp9	ENSMUSG00000068859	FALSE	NA	NA	3.25806680818131	5.14397695194123e-05	2.01976559096023	0.00216372081696649
Mes7	Mab21l2	ENSMUSG00000057777	FALSE	-4.48200282353289	8.59022309633474e-38	NA	NA	NA	NA
Mes4	Maf	ENSMUSG00000055435	TRUE	-1.79374466272591	0.0286635520111556	NA	NA	NA	NA
Mes1	Sfrp1	ENSMUSG00000031548	FALSE	3.57810495441609	6.17834431678332e-31	NA	NA	NA	NA
Mes4	Sgms2	ENSMUSG00000050931	FALSE	-3.73228922501301	1.47120605967839e-09	NA	NA	1.57318574405122	0.00781277297306703
Mes5	Kif26b	ENSMUSG00000026494	FALSE	-1.97856094577572	7.02460709239257e-11	NA	NA	NA	NA
Mes4	Wfikkn2	ENSMUSG00000044177	FALSE	-4.5249301628171	0.000317982211901918	2.51038532242565	9.45084265357707e-05	NA	NA
Mes3	Mest	ENSMUSG00000051855	FALSE	NA	NA	NA	NA	NA	NA
Mes4	Ahnak	ENSMUSG00000069833	FALSE	NA	NA	1.74700679599344	8.92000088463206e-06	NA	NA
Mes3	Fam19a5	ENSMUSG00000054863	FALSE	1.69938144886201	4.37919954501264e-05	NA	NA	NA	NA
Mes5	Tmem178	ENSMUSG00000024245	FALSE	-3.86016781476538	5.39698867763781e-08	NA	NA	NA	NA
Mes5	Pdzd2	ENSMUSG00000022197	FALSE	-4.54302279865444	4.67730624055969e-32	NA	NA	NA	NA
Mes3	Hoxa7	ENSMUSG00000038236	TRUE	NA	NA	NA	NA	NA	NA
Mes5	Cdh3	ENSMUSG00000061048	FALSE	-3.18658995124056	6.77296614453643e-24	NA	NA	NA	NA
Mes4	Ltbp3	ENSMUSG00000024940	FALSE	-1.85438925758211	0.000695472084875652	NA	NA	NA	NA
Mes4	Rin2	ENSMUSG00000001768	FALSE	NA	NA	1.99536850182994	2.13667167358134e-05	NA	NA
Mes5	Slc16a2	ENSMUSG00000033965	FALSE	-4.49282519693825	2.40960903661482e-36	NA	NA	NA	NA
Mes2	Gldc	ENSMUSG00000024827	FALSE	NA	NA	-1.83898279790983	5.61193025544414e-06	-1.99749733903444	7.38875828791718e-06
Mes1	Hoxa4	ENSMUSG00000000942	TRUE	3.24481628075347	8.37416505097133e-11	NA	NA	NA	NA
Mes4	Matn4	ENSMUSG00000016995	FALSE	NA	NA	NA	NA	6.96272149036514	1.43078084058551e-08
Mes1	Eya1	ENSMUSG00000025932	FALSE	4.64215858934337	4.87052523006727e-17	NA	NA	NA	NA
Mes4	Cacna1h	ENSMUSG00000024112	FALSE	NA	NA	NA	NA	NA	NA
Mes1	Alx1	ENSMUSG00000036602	TRUE	3.4277087430483	2.01151119344934e-21	NA	NA	NA	NA
Mes4	Gdf5	ENSMUSG00000038259	FALSE	-5.0800219751926	7.75723828289081e-06	NA	NA	2.42279409069952	0.000292416331953971
Mes3	Ccne1	ENSMUSG00000002068	FALSE	NA	NA	NA	NA	NA	NA
Mes5	Pmaip1	ENSMUSG00000024521	FALSE	-8.5572786951615	5.61340204050405e-66	NA	NA	-1.56640864997945	0.0356376519711206
Mes3	Flnc	ENSMUSG00000068699	FALSE	1.5891815472051	6.705205413891e-06	NA	NA	NA	NA
Mes4	Prr5l	ENSMUSG00000032841	FALSE	NA	NA	NA	NA	1.50944113582664	0.00214680782148793
Mes3	Lin28b	ENSMUSG00000063804	FALSE	2.48998659558844	7.06771299791705e-15	-1.98328604799288	0.000378802264563281	-2.20944016733402	0.0184321992682102
Mes5	Pianp	ENSMUSG00000030329	FALSE	-2.35821006986901	4.15903682111146e-06	NA	NA	NA	NA
